ID,bid in Auction A, bid in Auction B,v_A,v_B
***9446,9.35,36.45,18.7,72.9
***3239,17.3,82.7,17.3,82.6
***5489,5.85,49.3,11.7,98.6
***8713,29.9,73.8,29.9,73.8
***9857,24,65,24.4,72.6
***6235,3,6,29.4,51.5
***8005,5.15,49,10.3,98
***4205,21.65,35.95,43.3,71.9
***9021,35.1,96.3,35.1,96.3
***8828,7.1,32,14.2,64
***1202,3.3,49,6.6,98
***6140,3.15,41.45,6.3,82.9
***0530,1,30,9.3,50.8
***6099,40,80,43.1,86.2
***7768,0,60.7,13.4,81.1
***7459,28.1,75,28.1,94.9
***9757,5,70,17.1,96.2
***1586,7,44.4,14,88.8
***7477,9.5,42.55,17,85.1
***0547,47.5,84.3,47.5,84.3
***4122,27.66,47.66,33,59.3
***4042,11.75,30.55,23.5,61.1
***8079,30,51,43.7,71.5
***1995,13,25,26.5,51.1
***2756,24.56,46.16,30.7,57.7
***4079,14,50.1,14.4,63.8
***1133,9.6,60,9.7,60.1
***096,17.2,48.8,34.4,97.6
***3304,2,75,3,92.6
***1573,19.9,50.1,20,62.6
***2637,13.5,27.5,27.1,54.8
***5427,21.6,37.7,43.2,75.4
***0287,22.45,30.45,44.9,60.9
***1989,2.1999,87.9999,2.2,88
***8472,6,35,7,51.2
***5530,24.5,42.1,49,84.2
***1547,10.5,38.85,21,77.7
***8572,0,50,4.4,58.3
***9714,28.6,70.2,28.6,70.2
***4505,17,70,19.9,76.1
***4835,28,80,28.3,87.4
***2918,13,92.2,15.9,93.5
***6494,32,55,46.1,78.1
***1316,13.1,60,13.1,62
***5184,11.4,75.5,11.5,75.6
***9152,5.1,60,5.2,69.6
***1691,2.1,78.1,14.5,88.4
***2702,1,66,1.8,67.8
***0005,27.8,87.9,27.9,88
***8111,30,50,45,87.8
***1541,0.89,67.7,0.9,77.7
***7950,40,67,43.9,71.4
***6679,4.3,97.5,4.4,97.6
***8014,45.25,45.25,10.9,79.6
***6812,15,25,30.6,50.8